DetalleID;VentaID;ProductoID;Cantidad;PrecioUnitario;DescuentoPct;VentaNeta;CostoTotal;Margen
DET000001-1;VTA000001;PROD0017;1;$ 563.043,88;5,0%;$ 534.891,69;$ 385.317,00;$ 149.574,69
DET000001-2;VTA000001;PROD0093;1;$ 1.009.262,00;20,0%;$ 807.409,60;$ 682.026,00;$ 125.383,60
DET000001-3;VTA000001;PROD0155;1;$ 306.042,73;0,0%;$ 306.042,73;$ 199.197,00;$ 106.845,73
DET000002-1;VTA000002;PROD0175;1;$ 653.879,16;5,0%;$ 621.185,20;$ 518.531,00;$ 102.654,20
DET000003-1;VTA000003;PROD0047;2;$ 400.896,22;0,0%;$ 801.792,44;$ 621.092,00;$ 180.700,44
DET000003-2;VTA000003;PROD0180;2;$ 1.173.089,12;15,0%;$ 1.994.251,50;$ 1.739.894,00;$ 254.357,50
DET000003-3;VTA000003;PROD0048;1;$ 233.255,37;0,0%;$ 233.255,37;$ 155.148,00;$ 78.107,37
DET000004-1;VTA000004;PROD0001;1;$ 894.075,54;0,0%;$ 894.075,54;$ 694.325,00;$ 199.750,54
DET000004-2;VTA000004;PROD0066;1;$ 496.814,71;10,0%;$ 447.133,24;$ 369.460,00;$ 77.673,24
DET000004-3;VTA000004;PROD0109;3;$ 762.414,47;0,0%;$ 2.287.243,41;$ 1.732.878,00;$ 554.365,41
DET000005-1;VTA000005;PROD0090;1;$ 678.723,42;0,0%;$ 678.723,42;$ 485.187,00;$ 193.536,42
DET000006-1;VTA000006;PROD0023;2;$ 1.159.217,92;10,0%;$ 2.086.592,26;$ 1.731.816,00;$ 354.776,26
DET000007-1;VTA000007;PROD0061;1;$ 167.609,68;0,0%;$ 167.609,68;$ 107.318,00;$ 60.291,68
DET000008-1;VTA000008;PROD0125;1;$ 425.698,37;0,0%;$ 425.698,37;$ 314.817,00;$ 110.881,37
DET000008-2;VTA000008;PROD0113;1;$ 684.484,17;5,0%;$ 650.259,96;$ 513.076,00;$ 137.183,96
DET000009-1;VTA000009;PROD0059;1;$ 76.729,20;0,0%;$ 76.729,20;$ 57.499,00;$ 19.230,20
DET000010-1;VTA000010;PROD0075;4;$ 605.575,39;5,0%;$ 2.301.186,48;$ 1.659.636,00;$ 641.550,48
DET000011-1;VTA000011;PROD0179;1;$ 1.024.816,26;0,0%;$ 1.024.816,26;$ 668.181,00;$ 356.635,26
DET000011-2;VTA000011;PROD0115;1;$ 112.038,63;0,0%;$ 112.038,63;$ 89.196,00;$ 22.842,63
DET000012-1;VTA000012;PROD0120;1;$ 48.156,95;0,0%;$ 48.156,95;$ 35.319,00;$ 12.837,95
DET000012-2;VTA000012;PROD0032;1;$ 949.235,42;10,0%;$ 854.311,88;$ 589.630,00;$ 264.681,88
DET000012-3;VTA000012;PROD0054;1;$ 107.709,95;5,0%;$ 102.324,45;$ 70.807,00;$ 31.517,45
DET000013-1;VTA000013;PROD0152;1;$ 1.060.095,37;0,0%;$ 0,00;$ 677.588,00;$ 0,00
DET000014-1;VTA000014;PROD0162;1;$ 101.780,52;5,0%;$ 96.691,49;$ 68.036,00;$ 28.655,49
DET000015-1;VTA000015;PROD0077;2;$ 357.399,83;5,0%;$ 679.059,68;$ 438.096,00;$ 240.963,68
DET000016-1;VTA000016;PROD0113;1;$ 708.449,25;5,0%;$ 673.026,79;$ 513.076,00;$ 159.950,79
DET000016-2;VTA000016;PROD0087;1;$ 951.323,87;0,0%;$ 951.323,87;$ 689.150,00;$ 262.173,87
DET000017-1;VTA000017;PROD0100;1;$ 324.161,88;10,0%;$ 291.745,69;$ 250.220,00;$ 41.525,69
DET000018-1;VTA000018;PROD0018;1;$ 1.091.875,64;0,0%;$ 1.091.875,64;$ 738.346,00;$ 353.529,64
DET000018-2;VTA000018;PROD0022;2;$ 178.050,05;10,0%;$ 320.490,09;$ 283.212,00;$ 37.278,09
DET000019-1;VTA000019;PROD0019;1;$ 436.623,91;0,0%;$ 436.623,91;$ 339.531,00;$ 97.092,91
DET000020-1;VTA000020;PROD0015;1;$ 581.496,66;0,0%;$ 581.496,66;$ 412.494,00;$ 169.002,66
DET000020-2;VTA000020;PROD0013;1;$ 161.389,50;0,0%;$ 161.389,50;$ 107.638,00;$ 53.751,50
DET000021-1;VTA000021;PROD0044;1;$ 199.813,52;10,0%;$ 179.832,17;$ 138.314,00;$ 41.518,17
DET000022-1;VTA000022;PROD0162;1;$ 100.093,70;0,0%;$ 100.093,70;$ 68.036,00;$ 32.057,70
DET000022-2;VTA000022;PROD0171;1;$ 621.214,13;5,0%;$ 590.153,42;$ 453.851,00;$ 136.302,42
DET000022-3;VTA000022;PROD0089;1;$ 812.553,97;5,0%;$ 771.926,27;$ 544.449,00;$ 227.477,27
DET000023-1;VTA000023;PROD0061;2;$ 166.305,43;15,0%;$ 282.719,23;$ 214.636,00;$ 68.083,23
DET000023-2;VTA000023;PROD0171;1;$ 599.864,88;0,0%;$ 599.864,88;$ 453.851,00;$ 146.013,88
DET000023-3;VTA000023;PROD0080;4;$ 43.504,08;0,0%;$ 174.016,32;$ 115.396,00;$ 58.620,32
DET000024-1;VTA000024;PROD0103;1;$ 19.668,07;0,0%;$ 19.668,07;$ 12.993,00;$ 6.675,07
DET000024-2;VTA000024;PROD0153;1;$ 122.862,50;10,0%;$ 110.576,25;$ 78.981,00;$ 31.595,25
DET000024-3;VTA000024;PROD0117;1;$ 18.189,20;5,0%;$ 17.279,74;$ 13.971,00;$ 3.308,74
DET000025-1;VTA000025;PROD0163;1;$ 30.996,29;10,0%;$ 27.896,66;$ 21.953,00;$ 5.943,66
DET000026-1;VTA000026;PROD0136;1;$ 366.791,55;0,0%;$ 366.791,55;$ 246.220,00;$ 120.571,55
DET000026-2;VTA000026;PROD0020;3;$ 547.959,36;15,0%;$ 1.397.296,37;$ 1.215.738,00;$ 181.558,37
DET000027-1;VTA000027;PROD0154;1;$ 699.510,83;0,0%;$ 699.510,83;$ 497.066,00;$ 202.444,83
DET000027-2;VTA000027;PROD0026;2;$ 864.975,02;0,0%;$ 1.729.950,04;$ 1.221.582,00;$ 508.368,04
DET000028-1;VTA000028;PROD0094;2;$ 105.684,45;10,0%;$ 190.232,01;$ 150.938,00;$ 39.294,01
DET000029-1;VTA000029;PROD0071;1;$ 117.332,59;10,0%;$ 105.599,33;$ 80.139,00;$ 25.460,33
DET000030-1;VTA000030;PROD0041;4;$ 315.804,08;5,0%;$ 1.200.055,50;$ 806.912,00;$ 393.143,50
DET000031-1;VTA000031;PROD0111;1;$ 220.238,97;0,0%;$ 220.238,97;$ 154.601,00;$ 65.637,97
DET000032-1;VTA000032;PROD0070;3;$ 350.500,30;0,0%;$ 1.051.500,90;$ 706.824,00;$ 344.676,90
DET000033-1;VTA000033;PROD0073;2;$ 155.889,54;15,0%;$ 265.012,22;$ 199.182,00;$ 65.830,22
DET000033-2;VTA000033;PROD0126;2;$ 80.493,14;10,0%;$ 144.887,65;$ 107.252,00;$ 37.635,65
DET000033-3;VTA000033;PROD0044;1;$ 200.572,25;5,0%;$ 190.543,64;$ 138.314,00;$ 52.229,64
DET000034-1;VTA000034;PROD0026;1;$ 875.564,88;5,0%;$ 831.786,64;$ 610.791,00;$ 220.995,64
DET000034-2;VTA000034;PROD0008;1;$ 220.669,86;5,0%;$ 209.636,37;$ 150.976,00;$ 58.660,37
DET000034-3;VTA000034;PROD0033;1;$ 100.688,63;0,0%;$ 100.688,63;$ 62.579,00;$ 38.109,63
DET000035-1;VTA000035;PROD0098;1;$ 719.126,29;0,0%;$ 719.126,29;$ 466.619,00;$ 252.507,29
DET000036-1;VTA000036;PROD0018;1;$ 1.054.426,22;5,0%;$ 1.001.704,91;$ 738.346,00;$ 263.358,91
DET000037-1;VTA000037;PROD0006;2;$ 521.243,14;0,0%;$ 1.042.486,28;$ 809.884,00;$ 232.602,28
DET000037-2;VTA000037;PROD0082;2;$ 85.057,98;0,0%;$ 170.115,96;$ 114.316,00;$ 55.799,96
DET000038-1;VTA000038;PROD0055;1;$ 927.699,25;0,0%;$ 927.699,25;$ 645.134,00;$ 282.565,25
DET000039-1;VTA000039;PROD0148;1;$ 72.149,93;10,0%;$ 64.934,94;$ 54.971,00;$ 9.963,94
DET000040-1;VTA000040;PROD0151;1;$ 147.010,65;5,0%;$ 139.660,12;$ 107.564,00;$ 32.096,12
DET000041-1;VTA000041;PROD0124;1;$ 163.446,22;5,0%;$ 155.273,91;$ 123.837,00;$ 31.436,91
DET000042-1;VTA000042;PROD0008;1;$ 216.578,44;10,0%;$ 194.920,60;$ 150.976,00;$ 43.944,60
DET000042-2;VTA000042;PROD0174;1;$ 385.137,26;5,0%;$ 365.880,40;$ 285.272,00;$ 80.608,40
DET000042-3;VTA000042;PROD0142;3;$ 89.032,07;0,0%;$ 267.096,21;$ 180.600,00;$ 86.496,21
DET000043-1;VTA000043;PROD0160;2;$ 384.564,66;0,0%;$ 769.129,32;$ 530.288,00;$ 238.841,32
DET000044-1;VTA000044;PROD0155;2;$ 295.536,16;0,0%;$ 591.072,32;$ 398.394,00;$ 192.678,32
DET000045-1;VTA000045;PROD0115;1;$ 111.669,78;0,0%;$ 111.669,78;$ 89.196,00;$ 22.473,78
DET000046-1;VTA000046;PROD0047;1;$ 386.312,32;10,0%;$ 347.681,09;$ 310.546,00;$ 37.135,09
DET000047-1;VTA000047;PROD0133;1;$ 762.343,84;5,0%;$ 724.226,65;$ 579.507,00;$ 144.719,65
DET000048-1;VTA000048;PROD0077;1;$ 347.505,08;15,0%;$ 295.379,32;$ 219.048,00;$ 76.331,32
DET000049-1;VTA000049;PROD0031;1;$ 291.948,64;0,0%;$ 291.948,64;$ 193.494,00;$ 98.454,64
DET000050-1;VTA000050;PROD0108;1;$ 862.768,12;0,0%;$ 862.768,12;$ 564.006,00;$ 298.762,12
DET000051-1;VTA000051;PROD0103;1;$ 20.631,16;15,0%;$ 17.536,49;$ 12.993,00;$ 4.543,49
DET000052-1;VTA000052;PROD0053;1;$ 143.358,23;5,0%;$ 136.190,32;$ 92.388,00;$ 43.802,32
DET000052-2;VTA000052;PROD0144;1;$ 73.697,13;10,0%;$ 66.327,42;$ 52.427,00;$ 13.900,42
DET000053-1;VTA000053;PROD0041;2;$ 301.591,25;15,0%;$ 512.705,12;$ 403.456,00;$ 109.249,12
DET000054-1;VTA000054;PROD0140;1;$ 491.360,68;5,0%;$ 466.792,65;$ 340.381,00;$ 126.411,65
DET000054-2;VTA000054;PROD0066;1;$ 475.113,66;5,0%;$ 451.357,98;$ 369.460,00;$ 81.897,98
DET000055-1;VTA000055;PROD0168;1;$ 193.687,09;10,0%;$ 174.318,38;$ 143.715,00;$ 30.603,38
DET000056-1;VTA000056;PROD0031;1;$ 300.474,73;0,0%;$ 300.474,73;$ 193.494,00;$ 106.980,73
DET000056-2;VTA000056;PROD0002;1;$ 1.270.307,02;0,0%;$ 1.270.307,02;$ 862.953,00;$ 407.354,02
DET000057-1;VTA000057;PROD0175;1;$ 633.506,45;15,0%;$ 538.480,48;$ 518.531,00;$ 19.949,48
DET000057-2;VTA000057;PROD0152;2;$ 1.105.073,75;0,0%;$ 2.210.147,50;$ 1.355.176,00;$ 854.971,50
DET000057-3;VTA000057;PROD0088;1;$ 134.141,82;0,0%;$ 134.141,82;$ 92.719,00;$ 41.422,82
