VendedorID;Vendedor;SucursalID;Supervisor;ComisionPct;FechaIngreso;EstadoVendedor
VEN01;Ejecutivo Comercial 01;SUC01;Supervisor 1;1,5%;23/06/2024;Activo
VEN02;Ejecutivo Comercial 02;SUC02;Supervisor 1;2,0%;22/09/2020;Activo
VEN03;Ejecutivo Comercial 03;SUC03;Supervisor 1;1,8%;23/11/2020;Activo
VEN04;Ejecutivo Comercial 04;SUC04;Supervisor 1;1,5%;28/05/2020;Activo
VEN05;Ejecutivo Comercial 05;SUC05;Supervisor 1;2,0%;18/08/2022;Activo
VEN06;Ejecutivo Comercial 06;SUC06;Supervisor 1;1,5%;18/05/2023;Activo
VEN07;Ejecutivo Comercial 07;SUC01;Supervisor 2;1,8%;01/07/2022;Activo
VEN08;Ejecutivo Comercial 08;SUC02;Supervisor 2;1,3%;03/12/2021;Activo
VEN09;Ejecutivo Comercial 09;SUC03;Supervisor 2;1,5%;26/04/2022;Activo
VEN10;Ejecutivo Comercial 10;SUC04;Supervisor 2;1,0%;04/01/2024;Activo
VEN11;Ejecutivo Comercial 11;SUC05;Supervisor 2;1,8%;21/03/2021;Activo
VEN12;Ejecutivo Comercial 12;SUC06;Supervisor 2;1,5%;12/05/2022;Activo
VEN13;Ejecutivo Comercial 13;SUC01;Supervisor 3;1,5%;03/04/2024;Activo
VEN14;Ejecutivo Comercial 14;SUC02;Supervisor 3;1,3%;28/06/2022;Activo
VEN15;Ejecutivo Comercial 15;SUC03;Supervisor 3;1,0%;15/07/2021;Activo
VEN16;Ejecutivo Comercial 16;SUC04;Supervisor 3;1,3%;12/11/2023;Activo
VEN17;Ejecutivo Comercial 17;SUC05;Supervisor 3;1,5%;25/08/2023;Activo
VEN18;Ejecutivo Comercial 18;SUC06;Supervisor 3;1,0%;24/08/2023;Activo
