VentaID;Fecha;NroFactura;ClienteID;VendedorID;SucursalID;CanalVenta;MedioPago;EstadoVenta
VTA000001;09/07/2026;FAC-2026-000001;CLI0146;VEN02;SUC02;Local;Tarjeta Crédito;Completada
VTA000002;25/08/2025;FAC-2025-000002;CLI0576;VEN09;SUC03;Local;Efectivo;Completada
VTA000003;04/05/2025;FAC-2025-000003;CLI0153;VEN04;SUC04;Web;Tarjeta Crédito;Completada
VTA000004;06/03/2025;FAC-2025-000004;CLI0419;VEN13;SUC01;Marketplace;Financiación Propia;Completada
VTA000005;27/02/2025;FAC-2025-000005;CLI0061;VEN02;SUC02;Local;Efectivo;Completada
VTA000006;24/10/2025;FAC-2025-000006;CLI0441;VEN09;SUC03;Marketplace;Efectivo;Completada
VTA000007;12/02/2025;FAC-2025-000007;CLI0548;VEN09;SUC03;WhatsApp;Tarjeta Crédito;Completada
VTA000008;25/09/2025;FAC-2025-000008;CLI0089;VEN13;SUC01;Venta Telefónica;Transferencia;Completada
VTA000009;15/11/2025;FAC-2025-000009;CLI0516;VEN06;SUC06;Local;Tarjeta Crédito;Completada
VTA000010;07/01/2026;FAC-2026-000010;CLI0302;VEN02;SUC02;Web;Efectivo;Completada
VTA000011;10/01/2025;FAC-2025-000011;CLI0369;VEN02;SUC02;Web;Tarjeta Débito;Completada
VTA000012;07/04/2025;FAC-2025-000012;CLI0393;VEN06;SUC06;Marketplace;Efectivo;Completada
VTA000013;17/07/2025;FAC-2025-000013;CLI0362;VEN01;SUC01;Venta Telefónica;Financiación Propia;Cancelada
VTA000014;15/01/2025;FAC-2025-000014;CLI0530;VEN17;SUC05;Venta Telefónica;Financiación Propia;Completada
VTA000015;24/03/2026;FAC-2026-000015;CLI0440;VEN09;SUC03;Marketplace;Efectivo;Completada
VTA000016;09/12/2025;FAC-2025-000016;CLI0535;VEN10;SUC04;Web;Transferencia;Completada
VTA000017;30/06/2026;FAC-2026-000017;CLI0531;VEN18;SUC06;Marketplace;Tarjeta Crédito;Completada
VTA000018;04/07/2025;FAC-2025-000018;CLI0448;VEN18;SUC06;Local;Transferencia;Completada
VTA000019;10/04/2026;FAC-2026-000019;CLI0505;VEN15;SUC03;Web;Tarjeta Crédito;Pendiente
VTA000020;16/01/2026;FAC-2026-000020;CLI0477;VEN05;SUC05;WhatsApp;Financiación Propia;Completada
VTA000021;16/04/2025;FAC-2025-000021;CLI0340;VEN15;SUC03;Web;Transferencia;Completada
VTA000022;24/12/2025;FAC-2025-000022;CLI0464;VEN16;SUC04;Web;Transferencia;Completada
VTA000023;07/05/2025;FAC-2025-000023;CLI0005;VEN11;SUC05;Marketplace;Efectivo;Completada
VTA000024;09/07/2026;FAC-2026-000024;CLI0462;VEN01;SUC01;Venta Telefónica;Transferencia;Completada
VTA000025;21/04/2026;FAC-2026-000025;CLI0323;VEN16;SUC04;Marketplace;Efectivo;Completada
VTA000026;13/04/2025;FAC-2025-000026;CLI0540;VEN02;SUC02;Web;Financiación Propia;Completada
VTA000027;09/07/2026;FAC-2026-000027;CLI0103;VEN18;SUC06;Local;Tarjeta Débito;Completada
VTA000028;15/02/2025;FAC-2025-000028;CLI0561;VEN13;SUC01;WhatsApp;Tarjeta Débito;Completada
VTA000029;27/02/2026;FAC-2026-000029;CLI0206;VEN11;SUC05;Local;Transferencia;Completada
VTA000030;09/07/2025;FAC-2025-000030;CLI0263;VEN04;SUC04;Venta Telefónica;Financiación Propia;Completada
VTA000031;28/03/2026;FAC-2026-000031;CLI0120;VEN15;SUC03;Marketplace;Transferencia;Completada
VTA000032;16/03/2025;FAC-2025-000032;CLI0359;VEN09;SUC03;Venta Telefónica;Tarjeta Débito;Completada
VTA000033;07/12/2025;FAC-2025-000033;CLI0296;VEN03;SUC03;Web;Transferencia;Completada
VTA000034;02/07/2025;FAC-2025-000034;CLI0149;VEN14;SUC02;WhatsApp;Tarjeta Débito;Completada
VTA000035;17/03/2026;FAC-2026-000035;CLI0404;VEN16;SUC04;Marketplace;Financiación Propia;Completada
VTA000036;05/04/2026;FAC-2026-000036;CLI0413;VEN10;SUC04;Local;Tarjeta Débito;Completada
VTA000037;12/04/2026;FAC-2026-000037;CLI0558;VEN16;SUC04;Venta Telefónica;Financiación Propia;Completada
VTA000038;22/02/2026;FAC-2026-000038;CLI0177;VEN05;SUC05;WhatsApp;Efectivo;Completada
VTA000039;16/05/2025;FAC-2025-000039;CLI0038;VEN10;SUC04;Local;Tarjeta Débito;Completada
VTA000040;17/05/2026;FAC-2026-000040;CLI0004;VEN08;SUC02;Web;Tarjeta Crédito;Completada
VTA000041;23/05/2025;FAC-2025-000041;CLI0189;VEN13;SUC01;Web;Transferencia;Completada
VTA000042;23/11/2025;FAC-2025-000042;CLI0599;VEN15;SUC03;Local;Transferencia;Completada
VTA000043;21/04/2025;FAC-2025-000043;CLI0524;VEN13;SUC01;Venta Telefónica;Financiación Propia;Completada
VTA000044;24/12/2025;FAC-2025-000044;CLI0092;VEN12;SUC06;Marketplace;Tarjeta Débito;Completada
VTA000045;12/01/2025;FAC-2025-000045;CLI0479;VEN15;SUC03;Local;Financiación Propia;Completada
VTA000046;06/02/2025;FAC-2025-000046;CLI0377;VEN11;SUC05;Marketplace;Financiación Propia;Completada
VTA000047;23/06/2026;FAC-2026-000047;CLI0123;VEN10;SUC04;Marketplace;Financiación Propia;Completada
VTA000048;17/09/2025;FAC-2025-000048;CLI0162;VEN12;SUC06;WhatsApp;Efectivo;Completada
VTA000049;24/05/2025;FAC-2025-000049;CLI0523;VEN15;SUC03;Local;Tarjeta Crédito;Completada
VTA000050;04/03/2025;FAC-2025-000050;CLI0095;VEN03;SUC03;Marketplace;Tarjeta Débito;Completada
VTA000051;11/09/2025;FAC-2025-000051;CLI0009;VEN01;SUC01;Local;Tarjeta Débito;Completada
VTA000052;09/03/2026;FAC-2026-000052;CLI0115;VEN17;SUC05;Local;Transferencia;Completada
VTA000053;14/05/2026;FAC-2026-000053;CLI0544;VEN12;SUC06;Web;Transferencia;Completada
VTA000054;25/03/2026;FAC-2026-000054;CLI0563;VEN01;SUC01;Marketplace;Financiación Propia;Completada
VTA000055;08/07/2025;FAC-2025-000055;CLI0565;VEN04;SUC04;WhatsApp;Transferencia;Completada
VTA000056;11/03/2026;FAC-2026-000056;CLI0366;VEN02;SUC02;Venta Telefónica;Efectivo;Completada
VTA000057;30/03/2026;FAC-2026-000057;CLI0045;VEN13;SUC01;Venta Telefónica;Tarjeta Débito;Completada
VTA000058;20/10/2025;FAC-2025-000058;CLI0436;VEN15;SUC03;Venta Telefónica;Tarjeta Crédito;Completada
VTA000059;19/07/2025;FAC-2025-000059;CLI0291;VEN12;SUC06;Venta Telefónica;Tarjeta Débito;Completada
VTA000060;30/11/2025;FAC-2025-000060;CLI0586;VEN09;SUC03;Local;Efectivo;Completada
VTA000061;30/10/2025;FAC-2025-000061;CLI0304;VEN05;SUC05;Marketplace;Tarjeta Débito;Completada
VTA000062;28/02/2025;FAC-2025-000062;CLI0038;VEN07;SUC01;WhatsApp;Financiación Propia;Completada
VTA000063;07/10/2025;FAC-2025-000063;CLI0530;VEN05;SUC05;Local;Transferencia;Completada
VTA000064;16/02/2025;FAC-2025-000064;CLI0384;VEN16;SUC04;Web;Transferencia;Completada
VTA000065;06/02/2025;FAC-2025-000065;CLI0520;VEN07;SUC01;Web;Efectivo;Completada
VTA000066;03/07/2026;FAC-2026-000066;CLI0430;VEN13;SUC01;Venta Telefónica;Efectivo;Completada
VTA000067;01/01/2025;FAC-2025-000067;CLI0121;VEN15;SUC03;WhatsApp;Efectivo;Cancelada
VTA000068;17/07/2026;FAC-2026-000068;CLI0076;VEN14;SUC02;Marketplace;Tarjeta Débito;Completada
VTA000069;19/07/2026;FAC-2026-000069;CLI0430;VEN13;SUC01;WhatsApp;Transferencia;Completada
VTA000070;19/06/2026;FAC-2026-000070;CLI0044;VEN15;SUC03;WhatsApp;Tarjeta Débito;Completada
VTA000071;14/09/2025;FAC-2025-000071;CLI0552;VEN10;SUC04;WhatsApp;Efectivo;Completada
VTA000072;12/03/2025;FAC-2025-000072;CLI0274;VEN15;SUC03;Local;Financiación Propia;Completada
VTA000073;09/05/2026;FAC-2026-000073;CLI0558;VEN11;SUC05;Local;Efectivo;Completada
VTA000074;25/10/2025;FAC-2025-000074;CLI0243;VEN07;SUC01;Web;Financiación Propia;Completada
VTA000075;02/09/2025;FAC-2025-000075;CLI0349;VEN07;SUC01;Local;Tarjeta Crédito;Completada
VTA000076;19/06/2026;FAC-2026-000076;CLI0484;VEN18;SUC06;WhatsApp;Tarjeta Crédito;Completada
